"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_7","GSK3B","0.088","0.912","1","high"
"hpc_32","GSK3B","0.082","0.918","1","high"
"hpc_31","GSK3B","0.114","0.886","1","high"
"hpc_39","GSK3B","0.099","0.901","1","high"
"hpc_37","GSK3B","0.082","0.918","1","high"
"hpc_0","MAPK1","0.127","0.873","1","high"
"hpc_9","MAP3K14","0.145","0.855","1","high"
"hpc_10","MAPK1","0.162","0.838","1","high"
"hpc_1","MAPK1","0.064","0.936","1","high"
"hpc_44","MAP3K14","0.148","0.852","1","high"
"hpc_41","MAP3K14","0.195","0.805","1","high"
"hpc_8","MAP3K14","0.153","0.847","1","high"
"hpc_7","MAP3K14","0.49","0.51","1","high"
"hpc_14","MAPK1","0.092","0.908","1","high"
